"code","title","cnt_vote","cnt_review_before","cnt_review_after","director_weight","distributor_weight","total"
118952,"에베레스트",1565,105,1416,6.34706674311879,212.601759777925,332180
118364,"선 오브 갓",1497,260,1413,6.29177018355895,18.9936403677272,329286
125841,"스폰지밥 3D",1517,182,1471,6.21018196333764,696.286931730838,325016
115520,"극적인 하룻밤",1729,96,1578,6.1456947869332,115.082362865515,321641
140139,"뮨: 달의 요정",997,185,971,6.10411727704992,61.6709806064387,319465
124013,"도리화가",4783,986,4575,3.04193176341552,696.286931730838,317505
101962,"캐롤",3304,74,2994,2.05586392198114,115.082362865515,317217
106332,"레드카펫",2223,258,2067,1.51768420095296,18.9936403677272,316951
119456,"미녀와 야수",1554,55,1383,6.04413942616592,358.482932798446,316326
114248,"패딩턴",1237,284,1090,6.01463773716786,305.318616119918,314782
114146,"비행기 2: 소방구조대",689,30,680,5.94974930722135,529.352914654731,311386
99096,"주피터 어센딩",1860,170,1669,5.91808849202071,478.270420973647,309729
136687,"위대한 소원",2111,336,2033,5.89378399175806,358.482932798446,308457
36944,"올드보이",5563,21,5465,31.1750914188556,778.090157224087,307797
112040,"개를 훔치는 완벽한 방법",3336,467,3027,5.85451846656958,300.105837732685,306402
127866,"구스범스",1704,773,1609,5.83023307361846,212.601759777925,305131
137010,"포켓몬 더 무비 XY 후파: 광륜의 초마신",1282,156,1268,3.73616248996264,72.319978337612,300477
88477,"오즈의 마법사: 돌아온 도로시",740,41,719,5.70318855927383,12.9335340217137,298482
129072,"스포트라이트",1988,91,1738,3.24035163997015,11.1419125190495,297730
107370,"러브, 로지",1852,113,1603,5.66971254947811,358.482932798446,296730
122473,"포인트 브레이크",1912,224,1822,5.6384912024426,168.938189793636,295096
113301,"앨빈과 슈퍼밴드: 악동 어드벤처",865,286,842,5.58879308516024,394.608711052219,292495
118903,"런 올 나이트",1080,128,956,5.53221633572808,478.270420973647,289534
36843,"러브 액츄얼리",5259,37,5091,23.667335114255,286.964105415591,287366
78294,"다이노 타임",717,96,705,5.44367305411085,696.286931730838,284900
119452,"인서전트",1597,237,1419,7.10099667225681,305.318616119918,282707
149645,"극장판 안녕 자두야",1114,32,1116,5.34928293516628,696.286931730838,279960
109955,"사랑에 대한 모든 것",1340,101,1095,1.786533627797,212.601759777925,278045
129783,"눈의 여왕",2266,114,2241,5.29769319404273,358.482932798446,277260
118365,"백 투 더 비기닝",2420,138,2259,5.09420032627762,305.318616119918,266610
129333,"스파이 브릿지",1504,197,1348,18.531684660171,394.608711052219,266493
101960,"투모로우랜드",1344,136,1151,5.07891447705583,949.797434244477,265810
127707,"마야",493,74,486,5.07675535085325,12.9335340217137,265697
121132,"뽀로로 극장판 눈요정 마을 대모험",235,195,221,4.94705492020634,0.379046909953879,258909
130765,"함정",1953,309,1867,4.92949530091281,27.0199008125865,257990
133380,"명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀",384,287,331,4.91785894819272,696.286931730838,257381
104478,"언브로큰",1513,178,1370,2.5098122446934,212.601759777925,256801
